code,name,offence_type,offence_class,slipstreamable
TH68010,"Theft from a shop (£30,000 or less)",CE Either Way,F,false
TH68010,"Theft from a shop (Over £30,000 up to £100,000)",CE Either Way,G,false
TH68010,"Theft from a shop (Over £100,000)",CE Either Way,K,false
CJ88116,Assault by beating,CS Summary Non-Motoring,H,true
CD71039,Aggravated criminal damage to property valued under £5000,CE Either Way,B,false
CD71039,Criminal damage to property valued under £5000,CE Either Way,C,false
RT88191,Use a motor vehicle on a road / public place without third party insurance,CM Summary - Motoring,H,false
MD71530,Possess a controlled drug of Class B - Cannabis / Cannabis Resin,CE Either Way,H,false
CJ88144,Possess knife blade / sharp pointed article in a public place - Criminal Justice Act 1988,CE Either Way,H,true
PL96001,Assault a constable in the execution of his / her duty,CS Summary Non-Motoring,H,false
FA06001,"Fraud by false representation (£30,000 or less)",CE Either Way,F,true
FA06001,"Fraud by false representation (Over £30,000 up to £100,000)",CE Either Way,G,true
FA06001,"Fraud by false representation (Over £100,000)",CE Either Way,K,true
PH97003,Harassment - breach of a restraining order on conviction,CE Either Way,H,true
CJ88001,Aggravated common assault,CS Summary Non-Motoring,C,true
CJ88001,Common assault,CS Summary Non-Motoring,H,true
OF61102,Assault a person thereby occasioning them actual bodily harm,CE Either Way,C,true
PU86004,Section 4 words / behaviour - fear unlawful violence,CS Summary Non-Motoring,H,false
RT88333,Drive whilst disqualified,CM Summary - Motoring,H,false
PC53001,Possess an offensive weapon in a public place,CE Either Way,H,true
PU86116,Section 4A words / behaviour to cause harassment / alarm / distress,CS Summary Non-Motoring,H,false
TH68036,Aggravated burglary dwelling and theft - no violence,CE Either Way,B,true
TH68036,Burglary dwelling and theft - no violence,CE Either Way,E,true
TH68037,Aggravated burglary other than dwelling - theft,CE Either Way,B,true
TH68037,Burglary other than dwelling - theft,CE Either Way,E,true
TH68023,Armed robbery,CI Indictable,B,true
TH68023,Robbery,CI Indictable,C,true
RT88334,Drive a motor vehicle otherwise than in accordance with a licence,CM Summary - Motoring,H,false
AS14001,Breach a criminal behaviour order,CE Either Way,H,true
PL96003,Obstruct/resist a constable in execution of duty,CS Summary Non-Motoring,H,false
RT88007,Drive motor vehicle when alcohol level above limit (causing death),CM Summary - Motoring,B,false
RT88007,Drive motor vehicle when alcohol level above limit,CM Summary - Motoring,H,false
RT88026,Drive a motor vehicle dangerously (causing death),CE Either Way,B,true
RT88026,Drive a motor vehicle dangerously,CE Either Way,H,true
TH68020,"Theft - other - including theft by finding (£30,000 or less)",CE Either Way,F,false
TH68020,"Theft - other - including theft by finding (Over £30,000 up to £100,000)",CE Either Way,G,false
TH68020,"Theft - other - including theft by finding (Over £100,000)",CE Either Way,K,false
PU86149,"Use threatening / abusive words / behaviour likely to cause harassment, alarm or distress",CS Summary Non-Motoring,H,false
PK78008,Make indecent photograph / pseudo-photograph of a child,CE Either Way,J,true
BA76001,Fail to surrender to police / court bail at the appointed time,CS Summary Non-Motoring,H,false
PH97004,Harassment without violence,CS Summary Non-Motoring,H,false
RT88584,Drive motor vehicle with a proportion of a specified controlled drug above the specified limit (causing death),CM Summary - Motoring,B,false
RT88584,Drive motor vehicle with a proportion of a specified controlled drug above the specified limit,CM Summary - Motoring,H,false
CD98067,Racially / religiously aggravated intentional harassment / alarm / distress - words / writing,CE Either Way,H,false
PU86003,Affray,CE Either Way,H,true
TH68007,"Theft from a motor vehicle (£30,000 or less)",CE Either Way,F,false
TH68007,"Theft from a motor vehicle (Over £30,000 up to £100,000)",CE Either Way,G,false
TH68007,"Theft from a motor vehicle (Over £100,000)",CE Either Way,K,false
CJ88149,Assault by beating of an emergency worker,CE Either Way,H,true
FL96001,Breach a non-molestation order - Family Law Act 1996,CE Either Way,H,true
MD71210,Possess a controlled drug of Class A - Cocaine,CE Either Way,C,false
TH68073,"Handle stolen goods (£30,000 or less)",CE Either Way,F,false
TH68073,"Handle stolen goods (Over £30,000 up to £100,000)",CE Either Way,G,false
TH68073,"Handle stolen goods (Over £100,000)",CE Either Way,K,false
RT88010,Fail to provide specimen for analysis - vehicle driver,CM Summary - Motoring,H,false
